"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"916","Event 5116-2018","2","2018-11-20 19:57 UT","2018-11-20 20:57								CET","FR","Bourgogne Franche-Comté, Grand Est","1 no","1 no","2 no"
"1016","Event 5115-2018","1","2018-11-20 18:11 UT","2018-11-20 19:11								CET","NL","Limburg","1 no","1 no","1 no"
"1116","Event 5114-2018","36","2018-11-20 18:01 UT","2018-11-20 18:39								2 time zones","GB 
										
									    
																			FR",", Bretagne, Centre-Val de Loire, England, Normandie, Nouvelle-Aquitaine, Pays de la Loire","23 no","1 yes 
											
																															
												 23 no","18 yes 
											
																															
												 9 no"
"1216","Event 5381-2018","1","2018-11-20 17:30 UT","2018-11-20 18:30								CET","","","1 no","1 no","1 yes"
"1316","Event 5141-2018","1","2018-11-20 17:30 UT","2018-11-20 18:30								CET","FR","Auvergne-Rhône-Alpes","1 no","1 no","n/a"
"1416","Event 5113-2018","1","2018-11-20 14:30 UT","2018-11-20 15:30								CET","SE","Uppsala län","1 no","1 no","n/a"
"1516","Event 5112-2018","1","2018-11-20 13:19 UT","2018-11-20 19:49								630 time zones","MM","Yangon Region","1 no","1 no","n/a"
"1616","Event 5105-2018","33","2018-11-20 12:19 UT","2018-11-20 04:24								2 time zones","US","AZ, CA, NV, UT","24 no","1 yes 
											
																															
												 25 no","4 yes 
											
																															
												 14 no"
"1716","Event 5107-2018","1","2018-11-20 11:55 UT","2018-11-20 06:55								EST","US","VA","n/a","1 no","1 no"
"1816","Event 5168-2018","1","2018-11-20 11:50 UT","2018-11-20 04:50								MST","US","CO","1 no","1 no","1 no"
"1916","Event 5104-2018","1","2018-11-20 10:30 UT","2018-11-20 04:30								CST","US","KS","n/a","n/a","1 no"
"2016","Event 5102-2018","3","2018-11-20 10:27 UT","2018-11-20 05:27								EST","US","NC","3 no","3 no","2 yes 
											
																															
												 1 no"
"2120","Event 5103-2018","2","2018-11-20 10:25 UT","2018-11-20 05:25								EST","US","MI","1 no","1 yes 
											
																															
												 1 no","1 no"
"2218","Event 5167-2018","1","2018-11-20 09:34 UT","2018-11-20 01:34								PST","US","CA","1 yes","1 yes","n/a"
"2316","Event 5101-2018","2","2018-11-20 09:20 UT","2018-11-20 18:20								JST","JP","<U+8328><U+57CE><U+770C>","1 no","1 no","1 no"
"2416","Event 5100-2018","4","2018-11-20 08:34 UT","2018-11-20 00:34								PST","US","WA","3 no","1 yes 
											
																															
												 2 no","1 yes 
											
																															
												 2 no"
"2516","Event 5099-2018","1","2018-11-20 05:00 UT","2018-11-20 06:00								CET","FR","Provence-Alpes-Côte d'Azur","1 no","1 no","n/a"
"2616","Event 5098-2018","1","2018-11-20 04:41 UT","2018-11-19 23:41								EST","US","VA","1 no","1 no","1 no"
"2716","Event 5143-2018","1","2018-11-20 03:43 UT","2018-11-19 22:43								EST","US","FL","1 no","1 no","1 no"
"2816","Event 5096-2018","11","2018-11-20 03:36 UT","2018-11-19 19:36								PST","US","CA, NV","8 no","8 no","4 yes 
											
																															
												 1 no"
"2916","Event 5142-2018","1","2018-11-20 03:35 UT","2018-11-19 20:35								MST","US","CO","1 no","1 no","n/a"
"3016","Event 5095-2018","1","2018-11-20 02:20 UT","2018-11-20 02:20								GMT","GB","England","1 no","1 no","n/a"
"3120","Event 5094-2018","2","2018-11-20 02:01 UT","2018-11-19 19:01								MST","US","CO","2 no","2 no","1 no"
"3218","Event 5623-2018","1","2018-11-20 01:30 UT","2018-11-19 17:30								PST","US","CA","n/a","n/a","n/a"
"3316","Event 5093-2018","1","2018-11-20 00:40 UT","2018-11-20 00:40								GMT","GB","Scotland","1 no","1 no","1 no"
"3416","Event 5092-2018","1","2018-11-19 23:15 UT","2018-11-19 17:15								CST","CA","Manitoba","1 no","1 no","1 no"
"3516","Event 5091-2018","2","2018-11-19 23:03 UT","2018-11-19 23:03								GMT","GB 
										
									    
																			IE","County Kildare, England","2 no","2 no","n/a"
"3616","Event 5090-2018","4","2018-11-19 22:37 UT","2018-11-19 23:52								CET","SE 
										
									    
																			DK",", Örebro län, Stockholms län","1 no","1 no","3 no"
"3716","Event 5089-2018","1","2018-11-19 21:46 UT","2018-11-19 22:46								CET","FR","Provence-Alpes-Côte d'Azur","1 no","1 no","1 yes"
"3816","Event 5088-2018","1","2018-11-19 21:36 UT","2018-11-19 21:36								WET","PT","Lisbon","1 no","1 no","1 yes"
"3916","Event 5087-2018","5","2018-11-19 19:40 UT","2018-11-19 19:40								GMT","GB",", England","4 no","1 yes 
											
																															
												 3 no","1 yes 
											
																															
												 3 no"
"4016","Event 5086-2018","1","2018-11-19 18:00 UT","2018-11-19 19:00								CET","FR","Bretagne","1 no","1 no","1 yes"
"4120","Event 5085-2018","1","2018-11-19 17:42 UT","2018-11-19 17:42								GMT","GB","England","1 no","1 no","1 no"
"4218","Event 5084-2018","1","2018-11-19 16:40 UT","2018-11-19 19:40								3 time zones","IQ","Al Muthanna Governorate","1 no","1 no","1 yes"
"4316","Event 5083-2018","1","2018-11-19 15:38 UT","2018-11-19 07:38								PST","US","CA","1 no","1 no","1 no"
"4416","Event 5082-2018","1","2018-11-19 15:23 UT","2018-11-19 07:23								PST","CA","British Columbia","1 no","1 no","1 no"
"4516","Event 5081-2018","1","2018-11-19 14:20 UT","2018-11-19 15:20								CET","SE","Stockholms län","1 no","1 no","n/a"
"4616","Event 5080-2018","1","2018-11-19 14:15 UT","2018-11-19 07:15								MST","US","ID","1 no","1 no","1 no"
"4716","Event 5079-2018","1","2018-11-19 14:15 UT","2018-11-19 07:15								MST","US","UT","1 no","1 no","1 no"
"4816","Event 5078-2018","17","2018-11-19 14:14 UT","2018-11-19 06:14								PST","US","OR, WA","15 no","15 no","2 yes 
											
																															
												 9 no"
"4916","Event 5077-2018","1","2018-11-19 13:45 UT","2018-11-19 06:45								MST","US","CO","1 no","1 no","1 no"
"5016","Event 5076-2018","2","2018-11-19 12:47 UT","2018-11-19 04:47								PST","US","OR, WA","2 no","2 no","1 no"
"5116","Event 5075-2018","1","2018-11-19 11:50 UT","2018-11-19 04:50								MST","US","CO","1 no","1 no","1 no"
"2101","Event 5074-2018","1","2018-11-19 11:06 UT","2018-11-19 06:06								EST","US","GA","1 no","1 no","1 no"
