"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"32","Event 5926-2018","1","2018-12-29 14:45 UT","2018-12-29 06:45								PST","US","CA","1 no","1 no","1 no"
"33","Event 5925-2018","1","2018-12-29 14:10 UT","2018-12-29 06:10								PST","US","CA","n/a","n/a","1 no"
"34","Event 5924-2018","1","2018-12-29 10:10 UT","2018-12-29 03:10								MST","US","AZ","1 no","1 no","1 no"
"35","Event 5923-2018","1","2018-12-29 04:20 UT","2018-12-28 22:20								CST","US","TN","1 no","1 no","1 no"
"36","Event 5922-2018","1","2018-12-29 01:45 UT","2018-12-28 20:45								EST","US","FL","1 no","1 no","1 no"
"37","Event 5921-2018","1","2018-12-29 01:10 UT","2018-12-29 01:10								WET","PT","Porto","1 no","1 no","1 no"
"38","Event 5920-2018","1","2018-12-28 20:17 UT","2018-12-28 20:17								GMT","GB","England","1 no","1 no","1 no"
"39","Event 5919-2018","1","2018-12-28 12:34 UT","2018-12-28 06:34								CST","US","TX","n/a","n/a","1 no"
"40","Event 5918-2018","2","2018-12-28 10:51 UT","2018-12-28 05:21								2 time zones","US","MI, MN","2 no","2 no","1 no"
"41","Event 5917-2018","1","2018-12-28 10:20 UT","2018-12-28 04:20								CST","US","ND","n/a","1 no","1 no"
"42","Event 5916-2018","1","2018-12-28 09:37 UT","2018-12-28 22:37								NZDT","NZ","Northland","1 no","1 no","n/a"
"43","Event 5810-2018","1","2018-12-28 05:50 UT","2018-12-28 03:50								-2 time zones","BR","Rio Grande do Sul","1 no","1 no","1 yes"
"44","Event 5915-2018","2","2018-12-28 05:20 UT","2018-12-28 06:20								CET","DE","Nordrhein-Westfalen, Sachsen","1 no","1 no","2 no"
"45","Event 5914-2018","1","2018-12-28 04:15 UT","2018-12-27 22:15								CST","CA","Manitoba","1 no","1 no","1 yes"
"46","Event 5913-2018","1","2018-12-28 04:12 UT","2018-12-27 22:12								CST","US","TX","1 no","1 no","1 no"
"47","Event 5912-2018","1","2018-12-28 03:40 UT","2018-12-27 22:40								EST","US","SC","1 no","1 no","1 no"
"48","Event 5911-2018","1","2018-12-28 02:31 UT","2018-12-27 18:31								PST","US","CA","1 no","1 no","1 no"
"49","Event 5910-2018","1","2018-12-28 01:45 UT","2018-12-27 18:45								MST","US","ID","1 no","1 no","1 no"
"50","Event 5909-2018","1","2018-12-28 00:00 UT","2018-12-28 00:00								GMT","GB","England","1 no","n/a","1 no"
"51","Event 5908-2018","1","2018-12-27 23:32 UT","2018-12-27 17:32								CST","US","MS","1 no","1 no","1 no"
"210","Event 5814-2018","4","2018-12-27 22:48 UT","2018-12-27 17:48								EST","CA 
										
									    
																			US","ME, Quebec","4 no","4 no","3 no"
"310","Event 5961-2018","1","2018-12-27 22:30 UT","2018-12-27 19:30								-3 time zones","BR","Pernambuco","1 no","1 no","1 no"
"410","Event 5962-2018","1","2018-12-27 21:57 UT","2018-12-27 19:57								-2 time zones","BR","Minas Gerais","1 no","n/a","1 no"
"52","Event 5907-2018","2","2018-12-27 21:37 UT","2018-12-27 17:07								2 time zones","CA 
										
									    
																			US","New Brunswick, PA","1 no","1 no","n/a"
"61","Event 5906-2018","1","2018-12-27 13:48 UT","2018-12-27 07:48								CST","","","1 no","1 no","1 no"
"71","Event 5905-2018","1","2018-12-27 09:30 UT","2018-12-26 23:30								HST","US","HI","1 no","1 no","1 no"
"81","Event 5904-2018","1","2018-12-27 09:09 UT","2018-12-27 02:09								MST","US","CO","n/a","n/a","1 no"
